Instances,traffic_volume,holiday,temp,clouds_all,weather_main,weather_description,date,time,hour,holiday_val
27094,4532,None,293.58,64,Rain,light rain,2016-10-04,13:00:00,13,0
27095,5155,None,297.04,64,Rain,light rain,2016-10-04,14:00:00,14,0
27096,5619,None,296.6,48,Clouds,scattered clouds,2016-10-04,15:00:00,15,0
27097,6177,None,295.82,48,Clouds,scattered clouds,2016-10-04,16:00:00,16,0
27098,5749,None,295.38,48,Clouds,scattered clouds,2016-10-04,17:00:00,17,0
27099,4177,None,294.66,92,Clouds,overcast clouds,2016-10-04,18:00:00,18,0
27100,2964,None,293.23,92,Clouds,overcast clouds,2016-10-04,19:00:00,19,0
27101,2372,None,292.05,92,Rain,light rain,2016-10-04,20:00:00,20,0
27102,2101,None,290.77,100,Rain,light rain,2016-10-04,21:00:00,21,0
27103,1266,None,289.83,100,Rain,moderate rain,2016-10-04,22:00:00,22,0
27104,1138,None,289.59,100,Rain,moderate rain,2016-10-04,23:00:00,23,0
27110,2665,None,291.097,92,Rain,light rain,2016-10-05,05:00:00,5,0
27111,5487,None,287.246,80,Rain,light rain,2016-10-05,06:00:00,6,0
27112,6046,None,287.246,80,Rain,light rain,2016-10-05,07:00:00,7,0
27113,5909,None,287.246,80,Rain,light rain,2016-10-05,08:00:00,8,0
27114,4859,None,286.665,0,Clear,clear,2016-10-05,09:00:00,9,0
27115,4293,None,286.665,0,Clear,clear,2016-10-05,10:00:00,10,0
27116,4469,None,286.665,0,Clear,clear,2016-10-05,11:00:00,11,0
27117,4581,None,287.86,0,Clear,clear,2016-10-05,12:00:00,12,0
27118,4477,None,287.86,0,Clear,clear,2016-10-05,13:00:00,13,0
27119,4949,None,287.86,0,Clear,clear,2016-10-05,14:00:00,14,0
27120,5355,None,288.774,0,Clear,clear,2016-10-05,15:00:00,15,0
27121,5905,None,288.774,0,Clear,clear,2016-10-05,16:00:00,16,0
27122,5687,None,288.774,0,Clear,clear,2016-10-05,17:00:00,17,0
27123,4226,None,286.381,0,Clear,clear,2016-10-05,18:00:00,18,0
27124,3243,None,286.381,0,Clear,clear,2016-10-05,19:00:00,19,0
27125,2619,None,286.381,0,Clear,clear,2016-10-05,20:00:00,20,0
27126,2456,None,283.973,0,Clear,clear,2016-10-05,21:00:00,21,0
27127,1886,None,283.973,0,Clear,clear,2016-10-05,22:00:00,22,0
27128,2110,None,283.973,0,Clear,clear,2016-10-05,23:00:00,23,0
27134,2704,None,280.091,0,Clear,clear,2016-10-06,05:00:00,5,0
27135,5668,None,280.091,0,Clear,clear,2016-10-06,06:00:00,6,0
27136,6170,None,280.091,0,Clear,clear,2016-10-06,07:00:00,7,0
27137,5694,None,284.001,36,Clouds,scattered clouds,2016-10-06,08:00:00,8,0
27138,4672,None,283.9790000000001,0,Clear,clear,2016-10-06,09:00:00,9,0
27139,4341,None,283.9790000000001,0,Clear,clear,2016-10-06,10:00:00,10,0
27140,4431,None,283.9790000000001,0,Clear,clear,2016-10-06,11:00:00,11,0
27141,4483,None,287.271,0,Clear,clear,2016-10-06,12:00:00,12,0
27142,4562,None,287.271,0,Clear,clear,2016-10-06,13:00:00,13,0
27143,4704,None,288.144,56,Clouds,broken clouds,2016-10-06,14:00:00,14,0
27144,5106,None,288.144,56,Clouds,broken clouds,2016-10-06,15:00:00,15,0
27145,5899,None,288.144,56,Clouds,broken clouds,2016-10-06,16:00:00,16,0
27146,5464,None,288.144,56,Clouds,broken clouds,2016-10-06,17:00:00,17,0
27147,4261,None,286.119,48,Clouds,scattered clouds,2016-10-06,18:00:00,18,0
27148,3095,None,286.119,48,Clouds,scattered clouds,2016-10-06,19:00:00,19,0
27149,2802,None,283.896,92,Rain,light rain,2016-10-06,20:00:00,20,0
27150,2630,None,283.896,92,Rain,light rain,2016-10-06,21:00:00,21,0
27151,1669,None,283.896,92,Rain,light rain,2016-10-06,22:00:00,22,0
27152,1011,None,279.027,92,Rain,moderate rain,2016-10-06,23:00:00,23,0
27158,2511,None,277.36,80,Rain,light rain,2016-10-07,05:00:00,5,0
27159,5528,None,277.36,80,Rain,light rain,2016-10-07,06:00:00,6,0
27160,6235,None,277.36,80,Rain,light rain,2016-10-07,07:00:00,7,0
27161,5307,None,278.658,0,Clear,clear,2016-10-07,08:00:00,8,0
27162,4594,None,279.568,0,Clear,clear,2016-10-07,09:00:00,9,0
27163,4424,None,279.568,0,Clear,clear,2016-10-07,10:00:00,10,0
27164,4524,None,279.568,0,Clear,clear,2016-10-07,11:00:00,11,0
27165,4532,None,281.165,12,Clouds,few clouds,2016-10-07,12:00:00,12,0
27166,4572,None,281.165,12,Clouds,few clouds,2016-10-07,13:00:00,13,0
27167,4922,None,281.134,24,Clouds,few clouds,2016-10-07,14:00:00,14,0
27168,6143,None,281.134,24,Clouds,few clouds,2016-10-07,16:00:00,16,0
27169,5394,None,281.134,24,Clouds,few clouds,2016-10-07,17:00:00,17,0
27170,4642,None,279.28700000000003,56,Clouds,broken clouds,2016-10-07,18:00:00,18,0
27171,4642,None,279.28700000000003,56,Clouds,broken clouds,2016-10-07,18:00:00,18,0
27172,3889,None,279.28700000000003,56,Clouds,broken clouds,2016-10-07,19:00:00,19,0
27173,3196,None,279.28700000000003,56,Clouds,broken clouds,2016-10-07,20:00:00,20,0
27174,2608,None,277.572,0,Clear,clear,2016-10-07,21:00:00,21,0
27175,2610,None,277.572,0,Clear,clear,2016-10-07,22:00:00,22,0
27176,1766,None,277.572,0,Clear,clear,2016-10-07,23:00:00,23,0
27177,1186,None,275.788,0,Clear,clear,2016-10-08,00:00:00,0,0
27183,1343,None,272.416,0,Clear,clear,2016-10-08,06:00:00,6,0
27184,2222,None,272.416,0,Clear,clear,2016-10-08,07:00:00,7,0
27185,3397,None,277.685,24,Clouds,few clouds,2016-10-08,08:00:00,8,0
27186,4359,None,277.73,48,Clouds,scattered clouds,2016-10-08,09:00:00,9,0
27187,4944,None,277.73,48,Clouds,scattered clouds,2016-10-08,10:00:00,10,0
27188,4723,None,277.73,48,Clouds,scattered clouds,2016-10-08,11:00:00,11,0
27189,4876,None,281.11400000000003,0,Clear,clear,2016-10-08,12:00:00,12,0
27190,4640,None,281.11400000000003,0,Clear,clear,2016-10-08,13:00:00,13,0
27191,4688,None,283.216,20,Clouds,few clouds,2016-10-08,15:00:00,15,0
27192,4626,None,283.216,20,Clouds,few clouds,2016-10-08,16:00:00,16,0
27193,4980,None,283.216,20,Clouds,few clouds,2016-10-08,17:00:00,17,0
27194,4980,None,279.66900000000004,0,Clear,clear,2016-10-08,17:00:00,17,0
27195,4388,None,279.66900000000004,0,Clear,clear,2016-10-08,18:00:00,18,0
27196,3559,None,279.66900000000004,0,Clear,clear,2016-10-08,19:00:00,19,0
27197,3390,None,279.66900000000004,0,Clear,clear,2016-10-08,20:00:00,20,0
27198,4077,None,275.216,0,Clear,clear,2016-10-08,21:00:00,21,0
27199,4016,None,275.216,0,Clear,clear,2016-10-08,22:00:00,22,0
27200,2153,None,275.216,0,Clear,clear,2016-10-08,23:00:00,23,0
27201,1523,None,272.439,0,Clear,clear,2016-10-09,00:00:00,0,0
27202,1022,None,272.439,0,Clear,clear,2016-10-09,01:00:00,1,0
27207,1579,None,270.365,0,Clear,clear,2016-10-09,06:00:00,6,0
27208,1757,None,270.365,0,Clear,clear,2016-10-09,07:00:00,7,0
27209,2513,None,270.365,0,Clear,clear,2016-10-09,08:00:00,8,0
27210,4872,None,279.867,0,Clear,clear,2016-10-09,10:00:00,10,0
27211,4114,None,279.867,0,Clear,clear,2016-10-09,11:00:00,11,0
27212,4612,None,285.676,0,Clear,clear,2016-10-09,12:00:00,12,0
27213,4631,None,285.676,0,Clear,clear,2016-10-09,13:00:00,13,0
27214,4662,None,287.464,0,Clear,clear,2016-10-09,14:00:00,14,0
27215,4100,None,287.464,0,Clear,clear,2016-10-09,15:00:00,15,0
27216,4193,None,287.464,0,Clear,clear,2016-10-09,16:00:00,16,0
27217,4029,None,287.464,0,Clear,clear,2016-10-09,17:00:00,17,0
27218,3788,None,284.478,0,Clear,clear,2016-10-09,18:00:00,18,0
27219,3224,None,284.478,0,Clear,clear,2016-10-09,19:00:00,19,0
27220,2405,None,284.478,0,Clear,clear,2016-10-09,20:00:00,20,0
27221,1917,None,282.814,0,Clear,clear,2016-10-09,21:00:00,21,0
27222,1613,None,282.814,0,Clear,clear,2016-10-09,22:00:00,22,0
27229,2577,None,282.565,0,Clear,clear,2016-10-10,05:00:00,5,0
27230,5360,None,282.565,0,Clear,clear,2016-10-10,06:00:00,6,0
27231,6172,None,282.565,0,Clear,clear,2016-10-10,07:00:00,7,0
27232,5226,None,287.212,0,Clear,clear,2016-10-10,08:00:00,8,0
27233,3954,None,287.8,0,Clear,clear,2016-10-10,10:00:00,10,0
27234,4125,None,287.8,0,Clear,clear,2016-10-10,11:00:00,11,0
27235,4271,None,293.495,0,Clear,clear,2016-10-10,12:00:00,12,0
27236,4426,None,293.495,0,Clear,clear,2016-10-10,13:00:00,13,0
27237,4711,None,293.495,0,Clear,clear,2016-10-10,14:00:00,14,0
27238,5074,None,295.163,8,Clear,clear,2016-10-10,15:00:00,15,0
27239,6036,None,295.163,8,Clear,clear,2016-10-10,16:00:00,16,0
27240,5440,None,295.163,8,Clear,clear,2016-10-10,17:00:00,17,0
27241,4188,None,292.49,36,Clouds,scattered clouds,2016-10-10,18:00:00,18,0
27242,3267,None,292.49,36,Clouds,scattered clouds,2016-10-10,19:00:00,19,0
27243,2608,None,292.49,36,Clouds,scattered clouds,2016-10-10,20:00:00,20,0
27244,1924,None,291.252,56,Clouds,broken clouds,2016-10-10,21:00:00,21,0
27245,1372,None,291.252,56,Clouds,broken clouds,2016-10-10,22:00:00,22,0
27246,1567,None,291.252,56,Clouds,broken clouds,2016-10-10,23:00:00,23,0
27247,1373,None,289.914,56,Clouds,broken clouds,2016-10-11,00:00:00,0,0
27252,2854,None,288.957,24,Clouds,few clouds,2016-10-11,05:00:00,5,0
27253,5599,None,287.724,36,Clouds,scattered clouds,2016-10-11,06:00:00,6,0
27254,6294,None,287.724,36,Clouds,scattered clouds,2016-10-11,07:00:00,7,0
27255,5998,None,287.724,36,Clouds,scattered clouds,2016-10-11,08:00:00,8,0
27256,4684,None,292.17,0,Clear,clear,2016-10-11,09:00:00,9,0
27257,4053,None,292.17,0,Clear,clear,2016-10-11,10:00:00,10,0
27258,4151,None,292.17,0,Clear,clear,2016-10-11,11:00:00,11,0
27259,4401,None,295.369,32,Clouds,scattered clouds,2016-10-11,12:00:00,12,0
27260,4519,None,295.369,32,Clouds,scattered clouds,2016-10-11,13:00:00,13,0
27261,4715,None,295.369,32,Clouds,scattered clouds,2016-10-11,14:00:00,14,0
27262,4802,None,295.908,24,Clouds,few clouds,2016-10-11,15:00:00,15,0
27263,6139,None,295.908,24,Clouds,few clouds,2016-10-11,16:00:00,16,0
27264,5787,None,295.908,24,Clouds,few clouds,2016-10-11,17:00:00,17,0
27265,4378,None,293.244,92,Clouds,overcast clouds,2016-10-11,18:00:00,18,0
27266,2948,None,293.244,92,Clouds,overcast clouds,2016-10-11,19:00:00,19,0
27267,2445,None,293.244,92,Clouds,overcast clouds,2016-10-11,20:00:00,20,0
27268,2091,None,289.81,92,Clouds,overcast clouds,2016-10-11,21:00:00,21,0
27269,1293,None,289.81,92,Clouds,overcast clouds,2016-10-11,22:00:00,22,0
27276,2741,None,282.0490000000001,92,Rain,light rain,2016-10-12,05:00:00,5,0
27277,5296,None,279.532,92,Rain,moderate rain,2016-10-12,06:00:00,6,0
27278,5871,None,279.532,92,Rain,moderate rain,2016-10-12,07:00:00,7,0
27279,5453,None,279.532,92,Rain,moderate rain,2016-10-12,08:00:00,8,0
27280,4837,None,277.988,92,Rain,light rain,2016-10-12,09:00:00,9,0
27281,4155,None,277.988,92,Rain,light rain,2016-10-12,10:00:00,10,0
27282,4278,None,277.988,92,Rain,light rain,2016-10-12,11:00:00,11,0
27283,4278,None,279.83,56,Clouds,broken clouds,2016-10-12,12:00:00,12,0
27284,4397,None,279.83,56,Clouds,broken clouds,2016-10-12,13:00:00,13,0
27285,4646,None,279.83,56,Clouds,broken clouds,2016-10-12,14:00:00,14,0
27286,4757,None,282.057,20,Clouds,few clouds,2016-10-12,15:00:00,15,0
27287,6211,None,282.057,20,Clouds,few clouds,2016-10-12,16:00:00,16,0
27288,5762,None,282.057,20,Clouds,few clouds,2016-10-12,17:00:00,17,0
27289,4332,None,279.553,12,Clouds,few clouds,2016-10-12,18:00:00,18,0
27290,3080,None,279.553,12,Clouds,few clouds,2016-10-12,19:00:00,19,0
27291,2518,None,279.553,12,Clouds,few clouds,2016-10-12,20:00:00,20,0
27292,2154,None,276.35,0,Clear,clear,2016-10-12,21:00:00,21,0
27293,1373,None,276.35,0,Clear,clear,2016-10-12,22:00:00,22,0
27300,2764,None,270.969,0,Clear,clear,2016-10-13,05:00:00,5,0
27301,5668,None,270.969,0,Clear,clear,2016-10-13,06:00:00,6,0
27302,5589,None,270.969,0,Clear,clear,2016-10-13,07:00:00,7,0
27303,5186,None,270.969,0,Clear,clear,2016-10-13,08:00:00,8,0
27304,5089,None,277.268,0,Clear,clear,2016-10-13,09:00:00,9,0
27305,4182,None,277.268,0,Clear,clear,2016-10-13,10:00:00,10,0
27306,4394,None,277.268,0,Clear,clear,2016-10-13,11:00:00,11,0
27307,4512,None,282.46,0,Clear,clear,2016-10-13,12:00:00,12,0
27308,4634,None,282.46,0,Clear,clear,2016-10-13,13:00:00,13,0
27309,5006,None,284.384,0,Clear,clear,2016-10-13,14:00:00,14,0
27310,5520,None,284.384,0,Clear,clear,2016-10-13,15:00:00,15,0
27311,6154,None,284.384,0,Clear,clear,2016-10-13,16:00:00,16,0
27312,5865,None,281.195,0,Clear,clear,2016-10-13,17:00:00,17,0
27313,4642,None,281.195,0,Clear,clear,2016-10-13,18:00:00,18,0
27314,3512,None,281.195,0,Clear,clear,2016-10-13,19:00:00,19,0
27315,2799,None,279.008,0,Clear,clear,2016-10-13,20:00:00,20,0
27316,2531,None,279.008,0,Clear,clear,2016-10-13,21:00:00,21,0
27317,2120,None,279.008,0,Clear,clear,2016-10-13,22:00:00,22,0
27318,1735,None,278.398,0,Clear,clear,2016-10-13,23:00:00,23,0
27319,2233,None,278.398,0,Clear,clear,2016-10-14,00:00:00,0,0
27320,1024,None,278.398,0,Clear,clear,2016-10-14,01:00:00,1,0
27324,2548,None,277.92900000000003,32,Clouds,scattered clouds,2016-10-14,05:00:00,5,0
27325,5343,None,277.92900000000003,32,Clouds,scattered clouds,2016-10-14,06:00:00,6,0
27326,6108,None,277.92900000000003,32,Clouds,scattered clouds,2016-10-14,07:00:00,7,0
27327,5215,None,281.278,48,Clouds,scattered clouds,2016-10-14,08:00:00,8,0
27328,4221,None,282.389,12,Clouds,few clouds,2016-10-14,10:00:00,10,0
27329,4726,None,282.389,12,Clouds,few clouds,2016-10-14,11:00:00,11,0
27330,4619,None,288.1140000000001,36,Clouds,scattered clouds,2016-10-14,12:00:00,12,0
27331,4638,None,288.1140000000001,36,Clouds,scattered clouds,2016-10-14,13:00:00,13,0
27332,4994,None,292.399,0,Clear,clear,2016-10-14,14:00:00,14,0
27333,5686,None,292.399,0,Clear,clear,2016-10-14,15:00:00,15,0
27334,6047,None,292.399,0,Clear,clear,2016-10-14,16:00:00,16,0
27335,5308,None,292.089,8,Clear,clear,2016-10-14,17:00:00,17,0
27336,4549,None,292.089,8,Clear,clear,2016-10-14,18:00:00,18,0
27337,3577,None,292.089,8,Clear,clear,2016-10-14,19:00:00,19,0
27338,2800,None,291.613,12,Clouds,few clouds,2016-10-14,20:00:00,20,0
27339,3068,None,291.613,12,Clouds,few clouds,2016-10-14,21:00:00,21,0
27340,2481,None,291.613,12,Clouds,few clouds,2016-10-14,22:00:00,22,0
27341,1703,None,291.381,64,Clouds,broken clouds,2016-10-14,23:00:00,23,0
27342,1148,None,291.381,64,Clouds,broken clouds,2016-10-15,00:00:00,0,0
27348,1188,None,291.573,92,Clouds,overcast clouds,2016-10-15,06:00:00,6,0
27349,1547,None,291.573,92,Clouds,overcast clouds,2016-10-15,07:00:00,7,0
27350,3596,None,292.9190000000001,88,Clouds,overcast clouds,2016-10-15,09:00:00,9,0
27351,4079,None,292.612,92,Clouds,overcast clouds,2016-10-15,11:00:00,11,0
27352,4079,None,295.426,92,Clouds,overcast clouds,2016-10-15,11:00:00,11,0
27353,4396,None,295.426,92,Clouds,overcast clouds,2016-10-15,12:00:00,12,0
27354,4343,None,295.426,92,Clouds,overcast clouds,2016-10-15,14:00:00,14,0
27355,4191,None,295.931,92,Clouds,overcast clouds,2016-10-15,15:00:00,15,0
27356,4372,None,295.931,92,Clouds,overcast clouds,2016-10-15,16:00:00,16,0
27357,4165,None,295.931,92,Clouds,overcast clouds,2016-10-15,17:00:00,17,0
27358,3842,None,292.535,88,Clouds,overcast clouds,2016-10-15,18:00:00,18,0
27359,3436,None,292.535,88,Clouds,overcast clouds,2016-10-15,19:00:00,19,0
27360,4319,None,289.771,44,Rain,light rain,2016-10-15,21:00:00,21,0
27361,2805,None,289.771,44,Rain,light rain,2016-10-15,22:00:00,22,0
27362,1996,None,289.771,44,Rain,light rain,2016-10-15,23:00:00,23,0
27363,1416,None,285.78,36,Clouds,scattered clouds,2016-10-16,00:00:00,0,0
27368,1086,None,280.189,0,Clear,clear,2016-10-16,07:00:00,7,0
27369,1761,None,286.252,0,Clear,clear,2016-10-16,08:00:00,8,0
27370,2445,None,286.975,8,Clear,clear,2016-10-16,09:00:00,9,0
27371,3132,None,286.975,8,Clear,clear,2016-10-16,10:00:00,10,0
27372,3377,None,286.975,8,Clear,clear,2016-10-16,11:00:00,11,0
27373,3977,None,291.422,20,Clouds,few clouds,2016-10-16,12:00:00,12,0
27374,4123,None,291.422,20,Clouds,few clouds,2016-10-16,13:00:00,13,0
27375,4505,None,291.872,88,Clouds,overcast clouds,2016-10-16,14:00:00,14,0
27376,4520,None,291.872,88,Clouds,overcast clouds,2016-10-16,15:00:00,15,0
27377,4550,None,291.872,88,Clouds,overcast clouds,2016-10-16,16:00:00,16,0
27378,4355,None,290.271,76,Clouds,broken clouds,2016-10-16,17:00:00,17,0
27379,3926,None,290.271,76,Clouds,broken clouds,2016-10-16,18:00:00,18,0
27380,3332,None,290.271,76,Clouds,broken clouds,2016-10-16,19:00:00,19,0
27381,2578,None,291.151,92,Rain,light rain,2016-10-16,20:00:00,20,0
27382,2024,None,291.151,92,Rain,light rain,2016-10-16,21:00:00,21,0
27383,1399,None,291.151,92,Rain,light rain,2016-10-16,22:00:00,22,0
27390,2685,None,287.4890000000001,32,Clouds,scattered clouds,2016-10-17,05:00:00,5,0
27391,5288,None,287.4890000000001,32,Clouds,scattered clouds,2016-10-17,06:00:00,6,0
27392,6241,None,287.4890000000001,32,Clouds,scattered clouds,2016-10-17,07:00:00,7,0
27393,5482,None,288.865,0,Clear,clear,2016-10-17,08:00:00,8,0
27394,4607,None,290.724,12,Clouds,few clouds,2016-10-17,09:00:00,9,0
27395,4064,None,290.724,12,Clouds,few clouds,2016-10-17,10:00:00,10,0
27396,4071,None,290.724,12,Clouds,few clouds,2016-10-17,11:00:00,11,0
27397,4293,None,292.344,92,Clouds,overcast clouds,2016-10-17,12:00:00,12,0
27398,4341,None,292.344,92,Clouds,overcast clouds,2016-10-17,13:00:00,13,0
27399,4693,None,292.473,64,Rain,light rain,2016-10-17,14:00:00,14,0
27400,5272,None,292.473,64,Rain,light rain,2016-10-17,15:00:00,15,0
27401,5961,None,292.473,64,Rain,light rain,2016-10-17,16:00:00,16,0
27402,5262,None,289.64,100,Rain,heavy rain,2016-10-17,17:00:00,17,0
27403,4048,None,289.64,100,Rain,heavy rain,2016-10-17,18:00:00,18,0
27404,2961,None,289.64,100,Rain,heavy rain,2016-10-17,19:00:00,19,0
27405,2322,None,286.623,32,Rain,moderate rain,2016-10-17,20:00:00,20,0
27406,1969,None,286.623,32,Rain,moderate rain,2016-10-17,21:00:00,21,0
27407,2275,None,286.623,32,Rain,moderate rain,2016-10-17,22:00:00,22,0
27408,1916,None,284.634,64,Rain,light rain,2016-10-17,23:00:00,23,0
27414,2861,None,282.865,24,Clouds,few clouds,2016-10-18,05:00:00,5,0
27415,5747,None,282.865,24,Clouds,few clouds,2016-10-18,06:00:00,6,0
27416,6322,None,282.865,24,Clouds,few clouds,2016-10-18,07:00:00,7,0
27417,4313,None,284.881,12,Clouds,few clouds,2016-10-18,08:00:00,8,0
27418,4977,None,284.881,12,Clouds,few clouds,2016-10-18,09:00:00,9,0
27419,4299,None,284.881,12,Clouds,few clouds,2016-10-18,10:00:00,10,0
27420,4254,None,287.952,0,Clear,clear,2016-10-18,11:00:00,11,0
27421,4370,None,287.952,0,Clear,clear,2016-10-18,12:00:00,12,0
27422,4470,None,287.952,0,Clear,clear,2016-10-18,13:00:00,13,0
27423,4623,None,288.834,0,Clear,clear,2016-10-18,14:00:00,14,0
27424,5058,None,288.834,0,Clear,clear,2016-10-18,15:00:00,15,0
27425,6169,None,288.834,0,Clear,clear,2016-10-18,16:00:00,16,0
27426,5712,None,285.584,0,Clear,clear,2016-10-18,17:00:00,17,0
27427,4436,None,285.584,0,Clear,clear,2016-10-18,18:00:00,18,0
27428,3093,None,285.584,0,Clear,clear,2016-10-18,19:00:00,19,0
